date,wheat_price,corn_price,cotton_price
6/16/1975,3,2.92,0.455
6/17/1975,3.1875,2.95,0.454
6/18/1975,3.1225,2.9325,0.46
6/19/1975,3.055,2.9275,0.462
6/20/1975,3.165,2.985,0.461
6/23/1975,3.1125,2.9525,0.478
6/24/1975,3.1675,2.97,0.476
6/25/1975,3.06,2.9325,0.47
6/26/1975,3.025,2.91,0.471
6/27/1975,2.9625,2.84,0.475
6/30/1975,2.9625,2.8325,0.46
7/1/1975,2.905,2.815,0.467
7/2/1975,2.895,2.855,0.472
7/3/1975,2.945,2.9275,0.478
7/7/1975,3.0225,2.86,0.472
7/8/1975,3.2125,2.94,0.471
7/9/1975,3.335,2.93,0.466
7/10/1975,3.455,2.9225,0.473
7/11/1975,3.615,2.965,0.468
7/14/1975,3.52,2.93,0.469
7/15/1975,3.515,2.94,0.469
7/16/1975,3.665,3.04,0.471
7/17/1975,3.55,2.9975,0.471
7/18/1975,3.435,2.8775,0.478
7/21/1975,3.5125,3.0125,0.477
7/22/1975,3.54,3.0275,0.475
7/23/1975,3.465,2.9725,0.478
7/24/1975,3.5675,3.0675,0.484
7/25/1975,3.64,3.1025,0.493
7/28/1975,3.785,3.1725,0.492
7/29/1975,3.685,3.1875,0.484
7/30/1975,3.5025,2.9875,0.485
7/31/1975,3.5175,2.975,0.486
8/1/1975,3.545,3.0025,0.494
8/4/1975,3.555,3.095,0.489
8/5/1975,3.535,3.075,0.492
8/6/1975,3.5825,3.1425,0.492
8/7/1975,3.755,3.2325,0.483
8/8/1975,3.655,3.185,0.482
8/11/1975,3.635,3.1675,0.5
8/12/1975,3.7325,3.23,0.497
8/13/1975,3.865,3.265,0.507
8/14/1975,3.885,3.23,0.507
8/15/1975,3.8875,3.235,0.504
8/18/1975,3.85,3.135,0.511
8/19/1975,3.9525,3.1925,0.51
8/20/1975,4.115,3.2275,0.509
8/21/1975,4.175,3.225,0.512
8/22/1975,4.175,3.19,0.521
8/25/1975,4.105,3.2,0.516
8/26/1975,3.785,3.1,0.526
8/27/1975,3.945,3.1525,0.522
8/28/1975,3.775,3.1025,0.526
8/29/1975,3.765,3.0875,0.514
9/2/1975,3.735,3.025,0.518
9/3/1975,3.885,3.0475,0.511
9/4/1975,4.02,3.065,0.513
9/5/1975,4.085,3.08,0.505
9/8/1975,3.9575,2.9675,0.505
9/9/1975,3.9625,2.9175,0.52
9/10/1975,4,2.9575,0.517
9/11/1975,3.96,2.925,0.518
9/12/1975,4.11,3.045,0.516
9/15/1975,4.05,3.0475,0.523
9/16/1975,4.1,3.1275,0.521
9/17/1975,4.2275,3.2075,0.527
9/18/1975,4.175,3.1425,0.532
9/19/1975,4.1675,3.0825,0.552
9/22/1975,4.12,3.0025,0.541
9/23/1975,4.055,2.9625,0.545
9/24/1975,4.0625,2.95,0.559
9/25/1975,4.175,2.975,0.561
9/26/1975,4.165,2.99,0.555
9/29/1975,4.08,2.9325,0.561
9/30/1975,4.095,2.94,0.568
10/1/1975,4.095,2.9125,0.552
10/2/1975,3.9075,2.8375,0.558
10/3/1975,3.935,2.875,0.549
10/6/1975,3.98,2.875,0.538
10/7/1975,4.015,2.8925,0.541
10/8/1975,3.9375,2.905,0.538
10/9/1975,3.9525,2.92,0.532
10/10/1975,3.93,2.92,0.532
10/13/1975,3.86,2.7975,0.512
10/14/1975,3.9325,2.7925,0.51
10/15/1975,3.845,2.7575,0.529
10/16/1975,3.8975,2.75,0.523
10/17/1975,3.8575,2.7275,0.503
10/20/1975,3.93,2.75,0.509
10/21/1975,3.75,2.7,0.514
10/22/1975,3.765,2.6625,0.509
10/23/1975,3.7225,2.63,0.516
10/24/1975,3.715,2.605,0.514
10/27/1975,3.5925,2.5425,0.516
10/28/1975,3.645,2.5425,0.52
10/29/1975,3.7,2.5675,0.517
10/30/1975,3.7475,2.5975,0.514
10/31/1975,3.6625,2.5675,0.506
11/3/1975,3.5475,2.5275,0.506
11/4/1975,3.5925,2.54,0.508
11/5/1975,3.595,2.595,0.509
11/6/1975,3.53,2.6325,0.509
11/7/1975,3.555,2.6375,0.509
11/10/1975,3.4875,2.5925,0.515
11/11/1975,3.465,2.5425,0.515
11/12/1975,3.425,2.5225,0.517
11/13/1975,3.395,2.5175,0.526
11/14/1975,3.4375,2.545,0.535
11/17/1975,3.435,2.5575,0.527
11/18/1975,3.345,2.545,0.538
11/19/1975,3.2575,2.535,0.527
11/20/1975,3.32,2.6025,0.528
11/21/1975,3.37,2.6,0.537
11/24/1975,3.57,2.7525,0.549
11/25/1975,3.485,2.715,0.558
11/26/1975,3.4775,2.6875,0.558
11/28/1975,3.4225,2.6825,0.539
12/1/1975,3.415,2.69,0.541
12/2/1975,3.4525,2.69,0.541
12/3/1975,3.4325,2.77,0.54
12/4/1975,3.495,2.7425,0.54
12/5/1975,3.4675,2.7225,0.552
12/8/1975,3.335,2.5825,0.546
12/9/1975,3.3625,2.6125,0.548
12/10/1975,3.3575,2.5675,0.564
12/11/1975,3.3775,2.55,0.563
12/12/1975,3.2475,2.535,0.572
12/15/1975,3.225,2.4775,0.562
12/16/1975,3.2575,2.5175,0.563
12/17/1975,3.2675,2.55,0.558
12/18/1975,3.2825,2.5625,0.558
12/19/1975,3.32,2.6,0.569
12/22/1975,3.2975,2.5925,0.572
12/23/1975,3.2675,2.5775,0.578
12/24/1975,3.265,2.5725,0.578
12/26/1975,3.265,2.5725,0.576
12/29/1975,3.195,2.5425,0.571
12/30/1975,3.2275,2.5425,0.574
12/31/1975,3.2475,2.555,0.586
1/2/1976,3.28,2.5575,0.583
1/5/1976,3.4025,2.6025,0.584
1/6/1976,3.3725,2.595,0.587
1/7/1976,3.46,2.65,0.589
1/8/1976,3.44,2.6475,0.584
1/9/1976,3.4175,2.6275,0.59
1/12/1976,3.5175,2.6675,0.588
1/13/1976,3.495,2.675,0.589
1/14/1976,3.4975,2.6725,0.569
1/15/1976,3.4625,2.6625,0.563
1/16/1976,3.4575,2.675,0.551
1/19/1976,3.5625,2.6875,0.559
1/20/1976,3.5525,2.6825,0.555
1/21/1976,3.5275,2.655,0.57
1/22/1976,3.4675,2.635,0.57
1/23/1976,3.48,2.665,0.558
1/26/1976,3.3325,2.5325,0.563
1/27/1976,3.3775,2.5575,0.564
1/28/1976,3.3975,2.5825,0.589
1/29/1976,3.4425,2.6,0.579
1/30/1976,3.5075,2.63,0.579
2/2/1976,3.5925,2.66,0.58
2/3/1976,3.605,2.68,0.577
2/4/1976,3.5475,2.6775,0.569
2/5/1976,3.54,2.68,0.562
2/6/1976,3.5525,2.6875,0.556
2/9/1976,3.5625,2.7025,0.57
2/10/1976,3.7175,2.7125,0.569
2/11/1976,3.7825,2.7025,0.572
2/12/1976,3.905,2.7275,0.57
2/13/1976,3.865,2.71,0.585
2/17/1976,3.9575,2.7125,0.58
2/18/1976,3.825,2.695,0.584
2/19/1976,3.8725,2.7,0.587
2/20/1976,3.805,2.6875,0.586
2/23/1976,3.8425,2.705,0.584
2/24/1976,3.89,2.695,0.584
2/25/1976,3.945,2.695,0.598
2/26/1976,3.745,2.69,0.594
2/27/1976,3.945,2.735,0.595
3/1/1976,3.88,2.74,0.582
3/2/1976,3.755,2.715,0.583
3/3/1976,3.7825,2.7175,0.584
3/4/1976,3.845,2.7325,0.586
3/5/1976,3.8275,2.74,0.588
3/8/1976,3.7575,2.7425,0.574
3/9/1976,3.7725,2.75,0.569
3/10/1976,3.73,2.7475,0.564
3/11/1976,3.655,2.7375,0.567
3/12/1976,3.685,2.7375,0.558
3/15/1976,3.6775,2.7125,0.546
3/16/1976,3.625,2.6825,0.549
3/17/1976,3.6775,2.7125,0.562
3/18/1976,3.715,2.7325,0.564
3/19/1976,3.6825,2.73,0.548
3/22/1976,3.7175,2.7375,0.551
3/23/1976,3.635,2.6875,0.553
3/24/1976,3.6075,2.67,0.553
3/25/1976,3.4825,2.6575,0.55
3/26/1976,3.4375,2.655,0.542
3/29/1976,3.365,2.665,0.545
3/30/1976,3.4175,2.69,0.543
3/31/1976,3.335,2.6775,0.56
4/1/1976,3.3775,2.6725,0.557
4/2/1976,3.375,2.685,0.561
4/5/1976,3.395,2.695,0.57
4/6/1976,3.44,2.705,0.571
4/7/1976,3.4075,2.7025,0.575
4/8/1976,3.425,2.7125,0.582
4/9/1976,3.42,2.6875,0.576
4/12/1976,3.3825,2.69,0.573
4/13/1976,3.35,2.675,0.576
4/14/1976,3.36,2.6725,0.577
4/15/1976,3.465,2.7025,0.597
4/19/1976,3.42,2.6975,0.598
4/20/1976,3.39,2.695,0.593
4/21/1976,3.37,2.71,0.588
4/22/1976,3.36,2.71,0.59
4/23/1976,3.26,2.71,0.6
4/26/1976,3.25,2.7,0.602
4/27/1976,3.195,2.695,0.61
4/28/1976,3.23,2.735,0.61
4/29/1976,3.18,2.715,0.615
4/30/1976,3.1875,2.725,0.624
5/3/1976,3.2225,2.7525,0.618
5/4/1976,3.2025,2.7525,0.633
5/5/1976,3.195,2.7625,0.63
5/6/1976,3.2,2.78,0.638
5/7/1976,3.185,2.795,0.634
5/10/1976,3.2275,2.7925,0.625
5/11/1976,3.255,2.805,0.63
5/12/1976,3.3,2.8275,0.651
5/13/1976,3.4,2.875,0.651
5/14/1976,3.385,2.9175,0.641
5/17/1976,3.365,2.885,0.624
5/18/1976,3.31,2.8525,0.638
5/19/1976,3.2875,2.84,0.64
5/20/1976,3.2625,2.8725,0.646
5/21/1976,3.2575,2.905,0.646
5/24/1976,3.4075,2.9625,0.64
5/25/1976,3.31,2.96,0.66
5/26/1976,3.3475,2.9525,0.657
5/27/1976,3.3875,2.9625,0.661
5/28/1976,3.375,2.9275,0.664
6/1/1976,3.4875,2.9375,0.672
6/2/1976,3.4675,2.9475,0.676
6/3/1976,3.47,2.97,0.696
6/4/1976,3.4275,2.9875,0.716
6/7/1976,3.505,3.0775,0.72
6/8/1976,3.565,3.045,0.74
6/9/1976,3.595,3.07,0.755
6/10/1976,3.62,3.095,0.772
6/11/1976,3.515,3.04,0.759
6/14/1976,3.495,2.9975,0.739
6/15/1976,3.375,2.955,0.759
6/16/1976,3.3975,2.9375,0.739
6/17/1976,3.37,2.8875,0.73
6/18/1976,3.375,2.8775,0.75
6/21/1976,3.475,2.975,0.749
6/22/1976,3.455,3.0175,0.754
6/23/1976,3.4125,2.9325,0.788
6/24/1976,3.4875,2.965,0.808
6/25/1976,3.4575,2.97,0.825
6/28/1976,3.475,2.945,0.84
6/29/1976,3.445,2.9025,0.849
6/30/1976,3.3825,2.8675,0.869
7/1/1976,3.535,2.955,0.889
7/2/1976,3.555,2.975,0.909
7/6/1976,3.625,3.07,0.881
7/7/1976,3.435,2.9725,0.885
7/8/1976,3.49,3.01,0.905
7/9/1976,3.45,3.03,0.885
7/12/1976,3.315,2.995,0.865
7/13/1976,3.335,3.0075,0.85
7/14/1976,3.47,3.1375,0.83
7/15/1976,3.395,3.06,0.81
7/16/1976,3.3925,3.0525,0.79
7/19/1976,3.305,2.9975,0.77
7/20/1976,3.345,3.0325,0.75
7/21/1976,3.3575,2.9975,0.77
7/22/1976,3.265,2.9025,0.79
7/23/1976,3.3125,2.93,0.77
7/26/1976,3.2575,2.885,0.75
7/27/1976,3.2625,2.9025,0.73
7/28/1976,3.26,2.9125,0.75
7/29/1976,3.22,2.925,0.735
7/30/1976,3.16,2.9125,0.715
8/2/1976,3.0575,2.8725,0.735
8/3/1976,3.095,2.885,0.744
8/4/1976,3.1425,2.9225,0.753
8/5/1976,3.115,2.9175,0.748
8/6/1976,3.065,2.9025,0.728
8/9/1976,3.0025,2.8825,0.74
8/10/1976,3.0175,2.8625,0.753
8/11/1976,3.0125,2.8275,0.75
8/12/1976,3.0225,2.8125,0.77
8/13/1976,3.0325,2.88,0.783
8/16/1976,3.0225,2.8675,0.763
8/17/1976,2.9425,2.82,0.771
8/18/1976,2.96,2.8525,0.77
8/19/1976,3.0125,2.875,0.77
8/20/1976,3.0425,2.8725,0.776
8/23/1976,3.08,2.8925,0.756
8/24/1976,3.025,2.875,0.76
8/25/1976,2.9575,2.8475,0.769
8/26/1976,2.945,2.81,0.755
8/27/1976,2.92,2.835,0.741
8/30/1976,2.8775,2.785,0.734
8/31/1976,2.92,2.7975,0.741
9/1/1976,2.94,2.845,0.73
9/2/1976,3.01,2.8925,0.72
9/3/1976,2.9925,2.8725,0.739
9/7/1976,3.115,2.9725,0.734
9/8/1976,3.02,2.925,0.74
9/9/1976,3.0375,2.9125,0.758
9/10/1976,3.0075,2.9025,0.778
9/13/1976,2.89,2.91,0.758
9/14/1976,2.94,2.8425,0.738
9/15/1976,2.9925,2.84,0.738
9/16/1976,2.9625,2.8425,0.721
9/17/1976,2.885,2.815,0.716
9/20/1976,2.85,2.83,0.709
9/21/1976,2.8375,2.7575,0.717
9/22/1976,2.8275,2.7125,0.72
9/23/1976,2.8675,2.7075,0.732
9/24/1976,2.8125,2.6325,0.75
9/27/1976,2.765,2.6375,0.75
9/28/1976,2.75,2.6475,0.739
9/29/1976,2.6625,2.595,0.767
9/30/1976,2.6325,2.5875,0.787
10/1/1976,2.5925,2.5875,0.79
10/4/1976,2.645,2.6375,0.788
10/5/1976,2.665,2.65,0.781
10/6/1976,2.755,2.67,0.801
10/7/1976,2.7775,2.705,0.814
10/8/1976,2.7525,2.61,0.794
10/11/1976,2.7425,2.54,0.771
10/12/1976,2.7775,2.4975,0.766
10/13/1976,2.915,2.61,0.749
10/14/1976,2.78,2.5075,0.766
10/15/1976,2.7525,2.4975,0.786
10/18/1976,2.7475,2.435,0.778
10/19/1976,2.7775,2.4575,0.781
10/20/1976,2.7725,2.4775,0.768
10/21/1976,2.74,2.445,0.768
10/22/1976,2.715,2.46,0.784
10/25/1976,2.675,2.4625,0.787
10/26/1976,2.665,2.4425,0.797
10/27/1976,2.6625,2.4125,0.789
10/28/1976,2.625,2.3075,0.798
10/29/1976,2.66,2.3225,0.793
11/1/1976,2.6675,2.3275,0.773
11/3/1976,2.625,2.3025,0.792
11/4/1976,2.64,2.3825,0.791
11/5/1976,2.645,2.375,0.796
11/8/1976,2.65,2.3275,0.794
11/9/1976,2.6025,2.3475,0.788
11/10/1976,2.6,2.3534,0.779
11/11/1976,2.5075,2.2575,0.778
11/12/1976,2.5225,2.2325,0.758
11/15/1976,2.585,2.2525,0.761
11/16/1976,2.6,2.3175,0.747
11/17/1976,2.5775,2.35,0.761
11/18/1976,2.57,2.35,0.762
11/19/1976,2.575,2.35,0.767
11/22/1976,2.6175,2.425,0.754
11/23/1976,2.62,2.4375,0.744
11/24/1976,2.62,2.445,0.756
11/26/1976,2.5925,2.4225,0.758
11/29/1976,2.5275,2.41,0.756
11/30/1976,2.5575,2.4275,0.756
12/1/1976,2.57,2.44,0.755
12/2/1976,2.6125,2.4175,0.754
12/3/1976,2.645,2.4375,0.768
12/6/1976,2.66,2.48,0.767
12/7/1976,2.625,2.49,0.763
12/8/1976,2.665,2.54,0.772
12/9/1976,2.68,2.5225,0.765
12/10/1976,2.68,2.52,0.745
12/13/1976,2.6925,2.48,0.739
12/14/1976,2.685,2.495,0.728
12/15/1976,2.645,2.4525,0.724
12/16/1976,2.645,2.4275,0.732
12/17/1976,2.61,2.4075,0.733
12/20/1976,2.615,2.4425,0.722
12/21/1976,2.63,2.4525,0.723
12/22/1976,2.635,2.48,0.727
12/23/1976,2.67,2.4875,0.728
12/27/1976,2.735,2.49,0.73
12/28/1976,2.755,2.51,0.73
12/29/1976,2.7425,2.515,0.72
12/30/1976,2.725,2.5175,0.72
12/31/1976,2.725,2.5175,0.7
1/3/1977,2.6975,2.51,0.695
1/4/1977,2.6975,2.52,0.684
1/5/1977,2.7225,2.54,0.664
1/6/1977,2.76,2.55,0.671
1/7/1977,2.735,2.54,0.681
1/10/1977,2.77,2.545,0.666
1/11/1977,2.76,2.535,0.646
1/12/1977,2.775,2.5425,0.651
1/13/1977,2.7375,2.52,0.65
1/14/1977,2.715,2.53,0.67
1/17/1977,2.7325,2.5725,0.679
1/18/1977,2.725,2.5575,0.675
1/19/1977,2.73,2.61,0.658
1/20/1977,2.7325,2.59,0.666
1/21/1977,2.7325,2.595,0.686
1/24/1977,2.76,2.6275,0.706
1/25/1977,2.7375,2.625,0.702
1/26/1977,2.7025,2.5725,0.711
1/27/1977,2.6725,2.5575,0.719
1/28/1977,2.6725,2.53,0.707
1/31/1977,2.6925,2.585,0.706
2/1/1977,2.6875,2.5775,0.717
2/2/1977,2.6775,2.5625,0.711
2/3/1977,2.71,2.58,0.713
2/4/1977,2.7475,2.6075,0.722
2/7/1977,2.735,2.615,0.726
2/8/1977,2.745,2.6075,0.738
2/9/1977,2.7625,2.615,0.745
2/10/1977,2.76,2.5675,0.744
2/11/1977,2.725,2.5525,0.749
2/14/1977,2.715,2.5425,0.741
2/15/1977,2.755,2.5325,0.739
2/16/1977,2.76,2.555,0.742
2/17/1977,2.7775,2.5775,0.747
2/18/1977,2.8125,2.57,0.734
2/22/1977,2.77,2.5675,0.735
2/23/1977,2.785,2.5475,0.719
2/24/1977,2.795,2.55,0.722
2/25/1977,2.755,2.5425,0.742
2/28/1977,2.6625,2.5475,0.752
3/1/1977,2.6925,2.5425,0.746
3/2/1977,2.645,2.5375,0.748
3/3/1977,2.6225,2.55,0.766
3/4/1977,2.6325,2.5525,0.77
3/7/1977,2.6275,2.5875,0.763
3/8/1977,2.67,2.61,0.764
3/9/1977,2.665,2.605,0.755
3/10/1977,2.6325,2.5725,0.758
3/11/1977,2.635,2.5675,0.769
3/14/1977,2.6025,2.545,0.779
3/15/1977,2.6025,2.545,0.777
3/16/1977,2.6275,2.5575,0.771
3/17/1977,2.61,2.5425,0.79
3/18/1977,2.6125,2.51,0.794
3/21/1977,2.6375,2.525,0.788
3/22/1977,2.625,2.5125,0.768
3/23/1977,2.6075,2.51,0.781
3/24/1977,2.665,2.525,0.78
3/25/1977,2.6825,2.52,0.765
3/28/1977,2.6275,2.495,0.763
3/29/1977,2.63,2.505,0.766
3/30/1977,2.5925,2.515,0.762
3/31/1977,2.595,2.4975,0.773
4/1/1977,2.6075,2.5225,0.77
4/4/1977,2.56,2.4975,0.755
4/5/1977,2.47,2.495,0.765
4/6/1977,2.49,2.51,0.762
4/7/1977,2.55,2.5225,0.752
4/11/1977,2.565,2.5475,0.77
4/12/1977,2.59,2.595,0.755
4/13/1977,2.5625,2.5775,0.756
4/14/1977,2.56,2.585,0.736
4/15/1977,2.585,2.5925,0.723
4/18/1977,2.5775,2.605,0.735
4/19/1977,2.58,2.6025,0.734
4/20/1977,2.565,2.5725,0.727
4/21/1977,2.54,2.555,0.736
4/22/1977,2.51,2.5125,0.728
4/25/1977,2.4425,2.4775,0.728
4/26/1977,2.465,2.4725,0.719
4/27/1977,2.4325,2.4625,0.72
4/28/1977,2.4675,2.4725,0.733
4/29/1977,2.455,2.4775,0.745
5/2/1977,2.4362,2.4775,0.742
5/3/1977,2.4175,2.49,0.736
5/4/1977,2.375,2.4325,0.75
5/5/1977,2.3525,2.4425,0.752
5/6/1977,2.365,2.4525,0.734
5/9/1977,2.335,2.43,0.738
5/10/1977,2.3025,2.3875,0.735
5/11/1977,2.3275,2.4,0.736
5/12/1977,2.4,2.435,0.726
5/13/1977,2.3525,2.4125,0.712
5/16/1977,2.3425,2.405,0.715
5/17/1977,2.33,2.3975,0.718
5/18/1977,2.3325,2.42,0.72
5/19/1977,2.36,2.425,0.7
5/20/1977,2.34,2.3975,0.689
5/23/1977,2.3525,2.43,0.695
5/24/1977,2.38,2.4675,0.693
5/25/1977,2.35,2.44,0.682
5/26/1977,2.3325,2.4225,0.667
5/27/1977,2.315,2.43,0.669
5/31/1977,2.32,2.465,0.66
6/1/1977,2.3325,2.4625,0.644
6/2/1977,2.3075,2.4575,0.646
6/3/1977,2.3,2.47,0.657
6/6/1977,2.28,2.4625,0.666
6/7/1977,2.285,2.4475,0.649
6/8/1977,2.2875,2.375,0.64
6/9/1977,2.265,2.35,0.629
6/10/1977,2.2025,2.2825,0.622
6/13/1977,2.2025,2.2475,0.602
6/14/1977,2.23,2.2475,0.586
6/15/1977,2.27,2.2525,0.606
6/16/1977,2.28,2.2475,0.618
6/17/1977,2.275,2.2225,0.616
6/20/1977,2.295,2.245,0.597
6/21/1977,2.2575,2.195,0.603
6/22/1977,2.275,2.1675,0.612
6/23/1977,2.29,2.1775,0.632
6/24/1977,2.28,2.1725,0.612
6/27/1977,2.365,2.205,0.602
6/28/1977,2.365,2.2175,0.603
6/29/1977,2.34,2.22,0.609
6/30/1977,2.325,2.1675,0.629
7/1/1977,2.2825,2.14,0.648
7/5/1977,2.245,2.215,0.63
7/6/1977,2.295,2.2325,0.61
7/7/1977,2.27,2.165,0.599
7/8/1977,2.2725,2.1675,0.604
7/11/1977,2.205,2.0725,0.597
7/12/1977,2.18,2.065,0.6
7/13/1977,2.2475,2.1,0.614
7/15/1977,2.2025,2.1125,0.598
7/18/1977,2.185,2.035,0.581
7/19/1977,2.21,2.07,0.581
7/20/1977,2.195,2.04,0.578
7/21/1977,2.1875,2.0625,0.58
7/22/1977,2.195,2.0675,0.564
7/25/1977,2.165,2.035,0.568
7/26/1977,2.1675,2,0.568
7/27/1977,2.135,1.9525,0.573
7/28/1977,2.09,1.91,0.564
7/29/1977,2.095,1.8425,0.544
8/1/1977,2.14,1.85,0.544
8/2/1977,2.1125,1.8175,0.54
8/3/1977,2.1425,1.875,0.539
8/4/1977,2.1375,1.8975,0.541
8/5/1977,2.1425,1.9125,0.545
8/8/1977,2.1225,1.8675,0.55
8/9/1977,2.115,1.8625,0.547
8/10/1977,2.1175,1.87,0.541
8/11/1977,2.1075,1.855,0.532
8/12/1977,2.0925,1.85,0.522
8/15/1977,2.05,1.795,0.518
8/16/1977,2.07,1.7825,0.526
8/17/1977,2.055,1.7725,0.529
8/18/1977,2.0575,1.755,0.533
8/19/1977,2.04,1.7425,0.532
8/22/1977,2.0175,1.7225,0.534
8/23/1977,2.025,1.735,0.534
8/24/1977,2.06,1.7675,0.523
8/25/1977,2.0675,1.7825,0.525
8/26/1977,2.0475,1.77,0.53
8/29/1977,2.0425,1.75,0.523
8/30/1977,2.04,1.76,0.524
8/31/1977,2.0475,1.755,0.506
9/1/1977,2.0425,1.77,0.506
9/2/1977,2.0575,1.7975,0.501
9/6/1977,2.11,1.8225,0.493
9/7/1977,2.12,1.815,0.492
9/8/1977,2.1375,1.84,0.492
9/9/1977,2.1675,1.86,0.491
9/12/1977,2.205,1.8825,0.488
9/13/1977,2.2375,1.88,0.489
9/14/1977,2.1925,1.8625,0.49
9/15/1977,2.185,1.8475,0.489
9/16/1977,2.1825,1.845,0.492
9/19/1977,2.21,1.8625,0.491
9/20/1977,2.23,1.8925,0.491
9/21/1977,2.3,1.8675,0.486
9/22/1977,2.245,1.8525,0.495
9/23/1977,2.2625,1.86,0.503
9/26/1977,2.2825,1.79,0.503
9/27/1977,2.265,1.8,0.509
9/28/1977,2.24,1.785,0.511
9/29/1977,2.26,1.8175,0.507
9/30/1977,2.275,1.81,0.505
10/3/1977,2.3225,1.8375,0.506
10/4/1977,2.33,1.8825,0.505
10/5/1977,2.3125,1.83,0.509
10/6/1977,2.3175,1.8725,0.508
10/7/1977,2.28,1.9325,0.508
10/10/1977,2.2575,1.9075,0.503
10/11/1977,2.245,1.8325,0.502
10/12/1977,2.2075,1.825,0.502
10/13/1977,2.2025,1.7925,0.501
10/14/1977,2.2325,1.805,0.505
10/17/1977,2.2425,1.87,0.503
10/18/1977,2.245,1.875,0.503
10/19/1977,2.2225,1.875,0.501
10/20/1977,2.2225,1.8475,0.501
10/21/1977,2.24,1.8475,0.501
10/24/1977,2.2675,1.8925,0.494
10/25/1977,2.2575,1.8825,0.49
10/26/1977,2.3075,1.9625,0.485
10/27/1977,2.3275,1.9975,0.489
10/28/1977,2.335,2.0075,0.489
10/31/1977,2.3375,2.06,0.484
11/1/1977,2.4425,2.1025,0.481
11/2/1977,2.4875,2.1925,0.488
11/3/1977,2.48,2.165,0.49
11/4/1977,2.5075,2.155,0.49
11/7/1977,2.5275,2.2025,0.49
11/8/1977,2.5125,2.1975,0.486
11/9/1977,2.5175,2.22,0.487
11/10/1977,2.56,2.2225,0.485
11/11/1977,2.5725,2.1975,0.491
11/14/1977,2.605,2.1575,0.495
11/15/1977,2.67,2.1825,0.496
11/16/1977,2.7025,2.215,0.501
11/17/1977,2.655,2.2025,0.502
11/18/1977,2.69,2.2025,0.496
11/21/1977,2.65,2.1825,0.491
11/22/1977,2.6175,2.1475,0.488
11/23/1977,2.605,2.1675,0.491
11/25/1977,2.64,2.19,0.489
11/28/1977,2.585,2.1775,0.491
11/29/1977,2.65,2.1975,0.49
11/30/1977,2.6675,2.215,0.49
12/1/1977,2.7175,2.2,0.488
12/2/1977,2.7,2.225,0.484
12/5/1977,2.615,2.21,0.483
12/6/1977,2.62,2.2275,0.486
12/7/1977,2.65,2.22,0.484
12/8/1977,2.6525,2.22,0.486
12/9/1977,2.65,2.2375,0.479
12/12/1977,2.5775,2.205,0.484
12/13/1977,2.605,2.2125,0.485
12/14/1977,2.5925,2.21,0.491
12/15/1977,2.6,2.215,0.497
12/16/1977,2.5875,2.21,0.508
12/19/1977,2.59,2.215,0.502
12/20/1977,2.615,2.2375,0.497
12/21/1977,2.6325,2.23,0.498
12/22/1977,2.65,2.23,0.497
12/23/1977,2.685,2.245,0.507
12/27/1977,2.74,2.2125,0.511
12/28/1977,2.77,2.22,0.509
12/29/1977,2.7425,2.215,0.504
12/30/1977,2.73,2.2025,0.51
1/3/1978,2.69,2.1975,0.503
1/4/1978,2.715,2.195,0.507
1/5/1978,2.675,2.185,0.5
1/6/1978,2.72,2.195,0.504
